"Data Source","World Development Indicators",

"Last Updated Date","2019-12-20",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019",
"Barbados","BRB","Adjusted savings: education expenditure (current US$)","NY.ADJ.AEDU.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","75739935.6878944","83214829.1916649","88529399.5112071","98679118.0389237","126094289.492304","108228011.76","129848516.5028","135515844.35831","142224981.792363","148819949.651507","158168417.302956","168067584.966897","136172728.391079","116760020.8887","131646225","157569420","164430035","179659480","191619000","206587650","210904069.999999","233642450","227709710","240234400","255363290","243547887.5","241684905","257637874.836925","276711804.207283","249218430.393068","220953294.534458","207945183.026398","","",
"Brunei Darussalam","BRN","Adjusted savings: education expenditure (current US$)","NY.ADJ.AEDU.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","125389655.118","126739862.064","125856679.802","146424186.615","168333952.232","118844672.901024","137647796.269863","148742813.000669","151119223.146582","202557361.4","218960000","218441980.3384","194861941.417361","193881659.803441","207015005.493449","235855103.1214","270215270.740801","306726598.273477","309352667.773728","339807530.10288","236287656.939741","276219948.6669","424837066.919212","498859657.969822","538597391.358975","570013030.590007","497531263.056244","488223698.417562","514142458.333537","","",
"Bhutan","BTN","Adjusted savings: education expenditure (current US$)","NY.ADJ.AEDU.CD","","","","","","","","","","","","","","","","","","","","","2616325.30542971","2735985.01352594","2728628.25344132","2858935.58958665","3207915.28202026","3267603.25464567","3928937.60194474","5266452.79092997","6115532.85787117","6240630.24122838","6674792.2946103","5423261.26457133","5281565.5352493","5012825.43151161","5949005.63140909","6310376.06244388","6676510.04384323","7942021.93846854","10390279.5587063","13290187.915642","19345014.63153","18425981.44692","20807618.4016667","24308962.22018","27880244.85904","34713912.4786","35141111.4827107","42012797.3492006","39055597.9385","48810246.0048","45673492.8545","57502400.8889","71205411.6940073","85400774.4559755","108760323.389251","130889848.580962","138888863.526959","158074468.220205","","",
"Botswana","BWA","Adjusted savings: education expenditure (current US$)","NY.ADJ.AEDU.CD","","","","","","","","","","","4012765.93840142","4564578.438","5453259.6525","7087961.8214","7735331.125","10300000.0002","12276333.9468","16709323.0398","24795822.2652","35254723.9258","41577650.558","49936332.3776772","51592736.8903704","49834442.504","52956446.394","51934169.04","57694641.03","83000059.584","123400415.6","131006234.252966","158443617.298","224672853.45021","221462767.24","249803523.64212","226316796.203006","263515355.473586","257709478.65557","273455229.145508","275397685.37809","320580434.874203","362548440.653027","385344209.679414","366430881.602433","561316699.502408","703000768.900734","847706184.2644","772638222.003194","734464070.208","850367834.88421","950760275.1048","1160076899.1216","1476090888.9156","1396380350.718","1377110567.3544","1507808962.284","1345334135.58","1426340632.4376","1595148287.9832","","",
"Central African Republic","CAF","Adjusted savings: education expenditure (current US$)","NY.ADJ.AEDU.CD","","","","","","","","","","","7871332.01672411","8360257.62727346","8445298.8437","11265883.4469024","11724356.6940945","15822130.1574","16216550.6256","17734207.2985","18353355.57","27544552.7447468","29585693.9759","30716610.4608","25936725.234","23327673.2316","18103018.7020569","24713950.5799818","24417031.298","29422037.775","28830869.3567529","28152732.4118554","31202015.636","31308901.501","32117839.101","27721406.68","14116426.3553","17510283.728","15571313.2157415","14550128.6336478","14969978.5299789","15689420.157231","14307721.0124784","14708127.9214248","15680884.5337925","18201541.901598","20168624.6986556","21366967.9748","20287258.768","21929330.384","24921971.1745","24303627.7608","22949973.0795","25361124.087","25080680.7515","17527861.459","19665857.877","18293573.4455","20216277.984","22476356.9415","","",
"Canada","CAN","Adjusted savings: education expenditure (current US$)","NY.ADJ.AEDU.CD","","","","","","","","","","","6343303680.07997","6553804958.284","7616000000","8127000000","9638000000","10260000000","12586000000","13248000000","14484000000","15104000000","16492000000","18352000000","19089000000","22177000000","22016000000","21240000000","21535000000","25498000000","29460000000","32214000000","33176000000","35990000000","37686000000","37319000000","39547000000","39061000000","41993965984","43720691559","33470286481.5466","35959627519.6673","38925418603.2299","36158000000","36791997320.3124","42389992484.1422","47662064646.0586","53590000000","59662500000","66096000000","67014000000","61830000000","79000000000","86275000000","88247000000","89233000000","87261000000","75429000000","74443000000","80359000000","","",
"Central Europe and the Baltics","CEB","Adjusted savings: education expenditure (current US$)","NY.ADJ.AEDU.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Switzerland","CHE","Adjusted savings: education expenditure (current US$)","NY.ADJ.AEDU.CD","","","","","","","","","","","651343306.38","841198057.812","1104237306.57","1586597966.624","1949841206.112","2417788881.65","2678271815.778","2948393194.92","4120000000","4640000000","4920000000","4332000000","4640000000","4756000000","4440000000","4407000000","6400000000","7960000000","8463000000","8112000000","10520000000","11481000000","13096733402","12690000000","13959000000","16497000000","15933000000","14767412100","12868413561.9069","12801900000","11839629237.696","11861000000","14601000000","17972800000","19734900000","19492200000","19727400000","20923500000","24871200000","25235800000","26574000000","32143200000","31213100000","31591706096.9952","32246202430.3476","31156219840.584","30216161483.325","30798102371.152","","",
"Channel Islands","CHI","Adjusted savings: education expenditure (current US$)","NY.ADJ.AEDU.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Chile","CHL","Adjusted savings: education expenditure (current US$)","NY.ADJ.AEDU.CD","","","","","","","","","","","346241217.635178","417535774.080803","672281841.333","648732680.836849","592958155.182","271505749.806","414387936.085193","562583382.222372","511532936.112","760621411.224","1236699634.368","1718411658.288","1334071097.757","930424810.15","844693386.288","687266308.3","678133841","656110113.504","721875315.48","697353029.5","752508735.648","860999530.368","1101094233.425","1189783566.7","1415868503.166","1837122590.264","2114948214.316","2552561101.7","2736630323.04743","2650878395.0979","2561749320.9979","2432995859.49235","2466815495.2784","2621454000.9543","3178546835.8232","3763200000","4420000000","5220600000","6637226781.2958","6810300000","8586900000","9764400000","11883000000","12156200000","11516400000","10830900000","11105100000","12156200000","","",
"China","CHN","Adjusted savings: education expenditure (current US$)","NY.ADJ.AEDU.CD","","","","","","","","","","","1491164289.92084","1397213421.072","1710000000","2085000000","2304000000","2608000000","2618000000","2975000000","2700000000","3382000000","3247000000","3332000000","3690000000","4176000000","4437000000","5270000000","5418000000","4368000000","4992000000","5568000000","6465969790","6858929280","6405000000","6660000000","10134000000","12291000000","14467000000","19361421363","20230449480","19332000000","21480000000","23628000000","26134000000","29535000000","34905000000","40633000000","49225000000","63724000000","82877000000","91290000000","108653000000","134250000000","152866000000","170587000000","187950000000","196900000000","200480000000","218380000000","","",
"Cote d'Ivoire","CIV","Adjusted savings: education expenditure (current US$)","NY.ADJ.AEDU.CD","","","","","","","","","","","68141480.112","86605494.6651692","130633507.665","156332857.2","160566502.338","225176477.76","261223519.414","285330789.937","402361130.373","581736846.299","580830897.84","553720416.2","512942098.716","473558883.952","406374378.304","396625593.924","592514524.671765","643481816.911868","650890513.311095","585820750.865625","644361995.024141","638229688.469199","755158669.188","706570966.382","376971425.1","430544599.687","448931333.96","429109154.955","404441924.050628","451554158.958726","382773780.5368","392505605.0784","476574274.8459","576686999.1131","637766305.9056","667173871.9128","690425079.090027","830290709.713901","990063323.544434","979186078.36886","1054005893.88657","979914460.339077","1075276283.87351","1322133360.08195","1502740377.96099","1801483977.12702","1653963545.23015","1697774533.98141","","",
"Cameroon","CMR","Adjusted savings: education expenditure (current US$)","NY.ADJ.AEDU.CD","","","","","","","","","","","35160973.6932713","35731394.208","42079679.104","43696634.3595063","56724097.1792594","70793509.5656574","78630555.6294921","75361386.3988755","116623899.664143","158338306.901491","162467462.707591","161659839.781181","165014844","180733632.17","203285673.189","191139931.928435","251605189.512","291442472.4","286341797.234","262140169.848","320210738.85","361450333.518","279516516.292","362661559.87725","246873023.839576","223863017.354638","228443319.63486","214710388.158","225162840.509675","214064315.155764","167981640.7152","217381161.379016","297032383.292054","409479139.1772","466573927.7412","504459660.3441","479509777.7208","610031090.835","673327136.9027","735680312.2832","766042784.184","815850840.6345","765196014.2784","850330952.9468","928712811.6964","816850462.4624","859298165.518","918204924.772","","",
"Congo, Dem. Rep.","COD","Adjusted savings: education expenditure (current US$)","NY.ADJ.AEDU.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","48534390.9899621","46141571.5505243","51068389.3288122","53777545.0436695","55100879.4133957","42549974.2983216","194786595.167861","76937527.8180613","95880005.0041263","103238083.832893","123167613.046425","146744485.033515","185776226.387576","221655454.402691","262911987.432975","262966633.055664","313955080.0656","417236178.743998","520948976.434404","615293718.0334","677102825.4788","723611593.4898","748714526.4366","759993769.8494","","",
"Congo, Rep.","COG","Adjusted savings: education expenditure (current US$)","NY.ADJ.AEDU.CD","","","","","","","","","","","15285174.1044","17330555.6875","20622398.0562","27128776.688","30182962.5429","48697557.612","58107306.7575","48240766.0576925","72526263.6912","82931246.1","101916306.03","105355021.072","112628591.184342","107123625.638203","92999294.28","136285092.978389","126649532.479669","157298122.107801","128391384.38934","136495290.72904","156469073.217275","153444692.211619","172062118.111943","146840196.03","104500808.43","101948238.241","86571876.8883736","98831385.9586583","76887664.36","79903427.7429243","102726233.884049","82102588.5945991","83235684.4627","97456035.5622","105284005.5717","101613675.6936","128656111.4244","145512088.4196","220955970.816","175866573.8592","227410007.7312","269979160.626","265654910.7828","278457296.5692","295821236.0124","213335553.4128","211131774.5796","198051022.638","","",
"Colombia","COL","Adjusted savings: education expenditure (current US$)","NY.ADJ.AEDU.CD","","","","","","","","","","","122193988.132224","132971862.332744","147385831.900017","175748065.361071","211926399.324166","222225619.259373","260636759.24564","333138646.131512","366765937.28","470036079.635","563643257.869","897603156.8","1033301464.63826","1087931290.494","1063665618.446","963362940.576","896251071.645005","859582513.075","974156220.439993","1005508940.949","1047399165.496","1035900400.964","1797177386.976","1741265439.255","2005326017.375","2272775077.425","2567630146.005","3219134360","2994668681.2596","2870136492.01223","3587914446.85428","3792142129.486","4047691317.94993","3789345994.15065","4565200000","5740000000","6208800000","7365600000","8212800000","8780800000","10729417359.9413","10399400000","11356400000","13606965055.0497","12804300000","9860861956.59264","9915565181.38686","10520523947.9059","","",
